light,temp,open
0,0.321485294,0
0,0.319132353,0
0,0.319132353,0
0,0.319132353,0
0,0.317955882,0
0,0.320308824,0
0,0.320308824,0
0,0.320308824,0
0,0.317955882,0
0,0.319132353,0
0,0.320308824,0
0,0.320308824,0
0,0.321485294,0
0,0.320308824,0
0,0.321485294,0
0,0.319132353,0
0,0.321485294,0
0,0.321485294,0
0,0.321485294,0
0,0.321485294,0
0,0.320308824,0
0,0.320308824,0
0,0.320308824,0
0,0.320308824,0
0,0.320308824,0
0,0.317955882,0
0,0.320308824,0
0,0.317955882,0
0,0.319132353,0
0,0.316779412,0
0,0.317955882,0
0,0.319132353,0
0,0.322661765,0
0,0.321485294,0
0,0.317955882,0
0,0.320308824,0
0,0.316779412,0
0,0.320308824,0
0,0.319132353,0
0,0.321485294,0
0,0.319132353,0
0,0.320308824,0
0,0.319132353,0
0,0.316779412,0
0,0.319132353,0
0,0.319132353,0
0,0.319132353,0
0,0.319132353,0
0,0.323838235,0
0.0002304,0.323838235,0
0.007488,0.328544118,1
0.0075456,0.325014706,1
0.0075456,0.327367647,1
0.007776,0.327367647,1
0.008064,0.327367647,1
0.0084096,0.325014706,1
0.0085824,0.326191176,1
0.0087552,0.328544118,1
0.0087552,0.328544118,1
0.0088704,0.327367647,1
0.0090432,0.327367647,1
0.0091008,0.328544118,1
0.0091008,0.330897059,1
0.0090432,0.328544118,1
0.0090432,0.327367647,1
0.0089856,0.328544118,1
0.0090432,0.329720588,1
0.0089856,0.327367647,1
0.0089856,0.327367647,1
0.0089856,0.328544118,1
0.0089856,0.327367647,1
0.0091584,0.327367647,1
0.0091008,0.327367647,1
0.0089856,0.327367647,1
0.0091008,0.327367647,1
0.0089856,0.325014706,1
0.0090432,0.327367647,1
0.0091008,0.325014706,1
0.0089856,0.329720588,1
0.0089856,0.327367647,1
0.0089856,0.327367647,1
0.0090432,0.327367647,1
0.008928,0.327367647,1
0.008928,0.327367647,1
0.0091008,0.329720588,1
0.0090432,0.325014706,1
0.0091008,0.327367647,1
0.008928,0.325014706,1
0.008928,0.328544118,1
0.0089856,0.327367647,1
0.0089856,0.328544118,1
0.0088128,0.326191176,1
0.0085824,0.328544118,1
0.008352,0.327367647,1
0.0081216,0.326191176,1
0.0076032,0.325014706,1
0.0073728,0.327367647,1
0.0073152,0.326191176,1
0.0072,0.327367647,1
0.0071424,0.327367647,1
0.000576,0.330897059,1
0.0000576,0.330897059,0
0,0.329720588,0
0,0.328544118,0
0,0.329720588,0
0,0.332073529,0
0,0.329720588,0
0,0.330897059,0
0,0.329720588,0
0,0.330897059,0
0,0.332073529,0
0,0.330897059,0
0,0.332073529,0
0,0.332073529,0
0,0.330897059,0
0,0.332073529,0
0,0.334426471,0
0,0.33325,0
0,0.334426471,0
0,0.334426471,0
0,0.335602941,0
0,0.336779412,0
0,0.334426471,0
0,0.334426471,0
0,0.336779412,0
0,0.335602941,0
0,0.335602941,0
0,0.336779412,0
0,0.336779412,0
0,0.339132353,0
0,0.336779412,0
0,0.337955882,0
0,0.336779412,0
0,0.339132353,0
0,0.337955882,0
0,0.339132353,0
0,0.339132353,0
0,0.339132353,0
0,0.341485294,0
0,0.339132353,0
0,0.337955882,0
0,0.339132353,0
0,0.339132353,0
0,0.339132353,0
0,0.340308824,0
0,0.341485294,0
0,0.341485294,0
0,0.341485294,0
0,0.340308824,0
0,0.337955882,0
0,0.337955882,0
0,0.337955882,0
0,0.337955882,0
0,0.336779412,0
0,0.334426471,0
0,0.339132353,0
0,0.335602941,0
0,0.335602941,0
0,0.336779412,0
0,0.336779412,0
0,0.335602941,0
0,0.308544118,0
0,0.305014706,0
0,0.306191176,0
0,0.306191176,0
0,0.306191176,0
0,0.308544118,0
0,0.307367647,0
0,0.307367647,0
0,0.307367647,0
0,0.306191176,0
0,0.306191176,0
0,0.306191176,0
0,0.307367647,0
0,0.305014706,0
0,0.306191176,0
0,0.308544118,0
0,0.306191176,0
0,0.307367647,0
0,0.307367647,0
0,0.306191176,0
0,0.305014706,0
0,0.306191176,0
0,0.308544118,0
0,0.306191176,0
0,0.307367647,0
0,0.308544118,0
0,0.306191176,0
0,0.307367647,0
0,0.305014706,0
0,0.306191176,0
0,0.306191176,0
0,0.307367647,0
0,0.308544118,0
0,0.306191176,0
0,0.305014706,0
0,0.306191176,0
0,0.308544118,0
0,0.308544118,0
0,0.308544118,0
0,0.306191176,0
0,0.307367647,0
0,0.306191176,0
0,0.305014706,0
0,0.307367647,0
0,0.306191176,0
0,0.306191176,0
0,0.306191176,0
0,0.307367647,0
0,0.308544118,0
0,0.305014706,0
0,0.306191176,0
0,0.303838235,0
0,0.308544118,0
0,0.307367647,0
0,0.308544118,0
0,0.306191176,0
0,0.305014706,0
0,0.307367647,0
0,0.305014706,0
0,0.307367647,0
0,0.307367647,0
0,0.306191176,0
0,0.306191176,0
0,0.307367647,0
0,0.306191176,0
0,0.307367647,0
0,0.305014706,0
0,0.309720588,0
0,0.305014706,0
0,0.307367647,0
0,0.306191176,0
0,0.306191176,0
0,0.308544118,0
0.0012096,0.31325,1
0.007488,0.315602941,1
0.009216,0.31325,1
0.0091584,0.314426471,1
0.0089856,0.315602941,1
0.0092736,0.315602941,1
0.0093888,0.316779412,1
0.0093888,0.317955882,1
0.0094464,0.316779412,1
0.0095616,0.316779412,1
0.0095616,0.315602941,1
0.0096192,0.317955882,1
0.0095616,0.315602941,1
0.0096192,0.315602941,1
0.0095616,0.316779412,1
0.0095616,0.316779412,1
0.0095616,0.315602941,1
0.009504,0.315602941,1
0.0095616,0.316779412,1
0.0095616,0.316779412,1
0.0095616,0.316779412,1
0.0096192,0.317955882,1
0.0095616,0.315602941,1
0.0095616,0.317955882,1
0.0096192,0.317955882,1
0.009504,0.319132353,1
0.0096768,0.319132353,1
0.009504,0.320308824,1
0.0096192,0.320308824,1
0.0096768,0.320308824,1
0.0096192,0.315602941,1
0.0095616,0.315602941,1
0.0095616,0.319132353,1
0.0096192,0.317955882,1
0.0096192,0.317955882,1
0.0096192,0.317955882,1
0.0095616,0.317955882,1
0.0095616,0.315602941,1
0.009504,0.316779412,1
0.009504,0.319132353,1
0.0096768,0.317955882,1
0.009504,0.316779412,1
0.0096192,0.320308824,1
0.0096192,0.319132353,1
0.0096192,0.317955882,1
0.0094464,0.319132353,1
0.009504,0.319132353,1
0.009504,0.316779412,1
0.009504,0.317955882,1
0.0094464,0.317955882,1
0.009504,0.319132353,1
0.009504,0.317955882,1
0.0094464,0.317955882,1
0.0094464,0.317955882,1
0.0096192,0.320308824,1
0.0095616,0.321485294,1
0.009504,0.316779412,1
0.0094464,0.320308824,1
0.0095616,0.320308824,1
0.0093888,0.319132353,1
0.0094464,0.320308824,1
0.0093888,0.320308824,1
0.0093312,0.319132353,1
0.0092736,0.320308824,1
0.009216,0.319132353,1
0.009216,0.320308824,1
0.0091584,0.321485294,1
0.0091008,0.317955882,1
0.0090432,0.317955882,1
0.0088704,0.319132353,1
0.0087552,0.320308824,1
0.0088704,0.319132353,1
0.0088704,0.319132353,1
0.008928,0.320308824,1
0.0081792,0.321485294,1
0.0078336,0.317955882,1
0.0071424,0.320308824,1
0.0056448,0.320308824,1
0.0001152,0.321485294,0
0,0.320308824,0
0,0.322661765,0
0,0.323838235,0
0,0.321485294,0
0,0.322661765,0
0,0.320308824,0
0,0.325014706,0
0,0.322661765,0
0,0.323838235,0
0,0.327367647,0
0,0.327367647,0
0,0.325014706,0
0,0.325014706,0
0,0.327367647,0
0,0.325014706,0
0,0.327367647,0
0,0.329720588,0
0,0.329720588,0
0,0.327367647,0
0,0.328544118,0
0,0.328544118,0
0,0.328544118,0
0,0.329720588,0
0,0.329720588,0
0,0.329720588,0
0,0.330897059,0
0,0.328544118,0
0,0.330897059,0
0,0.332073529,0
0,0.330897059,0
0,0.329720588,0
0,0.329720588,0
0,0.332073529,0
0,0.332073529,0
0,0.332073529,0
0,0.332073529,0
0,0.332073529,0
0,0.334426471,0
0,0.330897059,0
0,0.332073529,0
0,0.33325,0
0,0.33325,0
0,0.332073529,0
0,0.332073529,0
0,0.334426471,0
0,0.33325,0
0,0.33325,0
0,0.33325,0
0,0.334426471,0
0,0.330897059,0
0,0.33325,0
0,0.33325,0
0,0.332073529,0
0,0.33325,0
0,0.332073529,0
0,0.330897059,0
0,0.330897059,0
0,0.329720588,0
0,0.332073529,0
0,0.329720588,0
0,0.330897059,0
0,0.332073529,0
0,0.330897059,0
0,0.329720588,0
0,0.329720588,0
0,0.330897059,0
0,0.327367647,0
0,0.330897059,0
0,0.329720588,0
0,0.327367647,0
0,0.329720588,0
0,0.329720588,0
0,0.327367647,0
0,0.328544118,0
0,0.330897059,0
0,0.330897059,0
0,0.330897059,0
0,0.332073529,0
0,0.332073529,0
0,0.328544118,0
0,0.332073529,0
0,0.329720588,0
0,0.332073529,0
0,0.328544118,0
0,0.330897059,0
0,0.330897059,0
0,0.330897059,0
0,0.330897059,0
0,0.328544118,0
0,0.332073529,0
0,0.332073529,0
0,0.329720588,0
0,0.330897059,0
0,0.330897059,0
0,0.330897059,0
0,0.33325,0
0,0.327367647,0
0,0.329720588,0
0,0.332073529,0
0,0.329720588,0
0,0.33325,0
0,0.330897059,0
0,0.328544118,0
0,0.329720588,0
0,0.332073529,0
0,0.332073529,0
0,0.329720588,0
0,0.332073529,0
0,0.33325,0
0,0.332073529,0
0,0.329720588,0
0,0.332073529,0
0,0.330897059,0
0,0.330897059,0
0,0.332073529,0
0,0.332073529,0
0,0.332073529,0
0,0.330897059,0
0,0.330897059,0
0,0.329720588,0
0,0.329720588,0
0,0.296779412,0
0,0.296779412,0
0,0.294426471,0
0,0.295602941,0
0,0.294426471,0
0,0.296779412,0
0,0.29325,0
0,0.294426471,0
0,0.294426471,0
0,0.296779412,0
0,0.297955882,0
0,0.294426471,0
0,0.294426471,0
0,0.296779412,0
0,0.296779412,0
0,0.295602941,0
0,0.294426471,0
0,0.295602941,0
0,0.295602941,0
0,0.294426471,0
0,0.295602941,0
0,0.295602941,0
0,0.29325,0
0,0.294426471,0
0,0.296779412,0
0,0.294426471,0
0,0.296779412,0
0,0.295602941,0
0,0.295602941,0
0,0.294426471,0
0,0.29325,0
0,0.29325,0
0,0.29325,0
0,0.29325,0
0,0.295602941,0
0,0.296779412,0
0,0.296779412,0
0,0.295602941,0
0,0.294426471,0
0,0.296779412,0
0,0.295602941,0
0,0.294426471,0
0,0.295602941,0
0,0.299132353,0
0.0032832,0.300308824,1
0.008064,0.302661765,1
0.0084096,0.303838235,1
0.00864,0.302661765,1
0.008928,0.303838235,1
0.0092736,0.303838235,1
0.009504,0.305014706,1
0.0093888,0.303838235,1
0.0093312,0.305014706,1
0.0091008,0.303838235,1
0.0088128,0.301485294,1
0.0082944,0.302661765,1
0.0081792,0.306191176,1
0.007776,0.305014706,1
0.005472,0.306191176,1
0.0002304,0.305014706,0
0,0.303838235,0
0,0.303838235,0
0,0.306191176,0
0,0.305014706,0
0,0.303838235,0
0,0.305014706,0
0,0.302661765,0
0,0.306191176,0
0,0.306191176,0
0,0.305014706,0
0,0.306191176,0
0,0.309720588,0
0,0.306191176,0
0,0.306191176,0
0,0.305014706,0
0,0.309720588,0
0,0.307367647,0
0,0.310897059,0
0,0.310897059,0
0,0.309720588,0
0,0.310897059,0
0,0.308544118,0
0,0.309720588,0
0,0.309720588,0
0,0.309720588,0
0,0.310897059,0
0,0.309720588,0
0,0.312073529,0
0,0.310897059,0
0,0.310897059,0
0,0.31325,0
0,0.314426471,0
0,0.310897059,0
0,0.312073529,0
0,0.315602941,0
0,0.314426471,0
0,0.315602941,0
0,0.314426471,0
0,0.315602941,0
0,0.315602941,0
0,0.314426471,0
0,0.315602941,0
0,0.31325,0
0,0.310897059,0
0,0.309720588,0
0,0.309720588,0
0,0.312073529,0
0,0.312073529,0
0,0.312073529,0
0,0.310897059,0
0,0.310897059,0
0,0.312073529,0
0,0.310897059,0
0,0.310897059,0
0,0.309720588,0
0,0.310897059,0
